Course,Location,CRN,Course Title,Instructor,Days,Start Time,End Time,Est Enroll,Act Enroll
PHIL 12111 10,1144 246,15574,GGL Sustained Dialogue Section,"Blaschko,Paul",M,8:00 PM,8:50 PM,15,14
PHIL 12111 19,1144 246,15584,GGL Sustained Dialogue Section,"Blaschko,Paul",T,8:00 PM,8:50 PM,17,17
PHYS 12320 01,1144 246,10354,Eng. Physics II Tutorial,"Chalus,Nathan",T,9:30 AM,10:20 AM,25,23
PHYS 12320 06,1144 246,10359,Eng. Physics II Tutorial,"Chalus,Nathan",T,11:00 AM,11:50 AM,26,26
RE 30770 01,1144 246,21213,Intro to Real Estate Law,"Lloyd,John",T,12:45 PM,1:35 PM,28,19
SOC 20033 02,1144 246,15502,Intro to Social Problems,"Sikkink,David",MW,3:30 PM,4:45 PM,25,14
SOC 30902 02,1144 246,14723,Methods Sociological Research,"Sikkink,David",MW,5:05 PM,6:20 PM,19,17
THEO 10801 01,1144 246,14102,Foundations (Fundamentals),"Malkovsky,Bradley",MWF,12:50 PM,1:40 PM,25,25
THEO 12001 02,1144 246,19918,Discussion - Foundatns of Theo,"Burdell,Geoffrey",F,10:30 AM,11:20 AM,25,25
EALC 11111 05,1144 301,21788,First Year Chinese I Drill,"Yin,Chengxu",MWF,12:50 PM,1:40 PM,7,7
EALC 20211 01,1144 301,11949,Second-Year Chinese I,"Ye,Weibing",MWF,11:30 AM,12:20 PM,14,6
EALC 20211 03,1144 301,18208,Second-Year Chinese I,"Ye,Weibing",MWF,10:30 AM,11:20 AM,14,9
EALJ 20211 02,1144 301,21517,Second-Year Japanese I,"Hanabusa,Noriko",MWF,9:25 AM,10:15 AM,12,8
EALK 20211 01,1144 301,12417,Second Year Korean I,"Kang,Hana",TR,11:00 AM,11:50 AM,15,7
FYS 10101 29,1144 301,13996,Moreau First Year Experience,"McAward,Kevin",R,9:30 AM,10:20 AM,19,19
FYS 10101 89,1144 301,14053,Moreau First Year Experience,"Merten,Matthew",M,8:20 AM,9:10 AM,19,18
MGA 60301 01,1144 301,20295,Foundations of Global Affairs,"Goertz,Gary",W,3:30 PM,6:15 PM,15,14
PHIL 98690 01,1144 301,13588,Dissertation Research Seminar,"Nolan,Daniel",M,4:00 PM,5:15 PM,15,5
PSY 13181 03,1144 301,20804,Soc Science University Seminar,"Eberhard,Kathleen",TR,3:30 PM,4:45 PM,16,16
ROSP 20201 10,1144 301,10069,Intermediate Spanish I,"Navarrete Astorquiza,Santiago",MWF,2:00 PM,2:50 PM,18,15
EALC 20211 02,1144 302,13118,Second-Year Chinese I,"Zhang,Jin",MWF,2:00 PM,2:50 PM,14,7
EALJ 21211 02,1144 302,21518,Second Year Japanese I Drill,"Kawamura,Yoko",TR,12:30 PM,1:20 PM,12,8
EALK 10111 01,1144 302,12305,First Year Korean I,"Kang,Hana",TR,9:30 AM,10:20 AM,16,15
HIST 22356 01,1144 302,19797,The First World War Tutorial,"Deak,John",F,10:30 AM,11:20 AM,20,18
HIST 22356 02,1144 302,19796,The First World War Tutorial,"Deak,John",F,11:30 AM,12:20 PM,20,17
ROIT 30310 01,1144 302,13355,Passage to Italy,"Boyle,Kathleen",TR,11:00 AM,12:15 PM,20,17
ENGL 53002 01,1144 303,14534,Creative Writing Honors Colloq,"Goransson,Johannes",TR,12:30 PM,1:45 PM,19,9
HIST 12200 02,1144 303,16604,Western Civ to 1500 Tutorial,"Hobbins,Daniel",F,12:50 PM,1:40 PM,20,3
HIST 22407 02,1144 303,16321,Tutorial World War 2,"Naramore,Susan",F,2:00 PM,2:50 PM,20,18
ROFR 10101 01,1144 303,11713,Beginning French I,"Reising,Claire",MWF,9:25 AM,10:15 AM,18,18
ROFR 10102 01,1144 303,11780,Beginning French II,"Haileselassie,Azeb",MWF,10:30 AM,11:20 AM,17,16
HIST 32355 01,1144 304,17409,Rasputin to Putin Tutorial,"Lyandres,Semion",F,12:50 PM,1:40 PM,20,14
ROFR 10101 02,1144 304,13777,Beginning French I,"Reising,Claire",MWF,10:30 AM,11:20 AM,18,16
ROFR 20202 01,1144 304,10060,Intermediate French II,"Reising,Claire",MWF,11:30 AM,12:20 PM,19,19
ROFR 20202 02,1144 304,10059,Intermediate French II,"Reising,Claire",MWF,2:00 PM,2:50 PM,19,19
ROFR 30320 01,1144 304,12599,Advncd Compstn: Art of Writing,"Haileselassie,Azeb",MW,12:30 PM,1:45 PM,18,18
ROSP 20202 06,1144 304,21475,Intermediate Spanish II,"Azcarate,George",MWF,9:25 AM,10:15 AM,18,15
SOC 30900 01,1144 304,10874,Foundations Sociological Thry,"Mische,Ann",TR,11:00 AM,12:15 PM,19,19
THEO 60945 01,1144 304,11315,Pastoral Administration,"Lacroix,Stephen",W,3:30 PM,4:45 PM,16,15
CLAS 22202 02,1144 305,20590,Roman History I Discussion grp,"Ryland,Mary Margaret",F,10:30 AM,11:20 AM,16,16
EALC 10111 04,1144 305,21796,First-Year Chinese I,"Zhang,Jin",TR,11:00 AM,11:50 AM,7,4
EALC 30311 02,1144 305,12389,Third Year Chinese I,"Liu,Jincheng",MWF,11:30 AM,12:20 PM,14,9
EALC 31311 03,1144 305,13527,Third Year Chinese I Drill,"Liu,Jincheng",R,12:30 PM,1:20 PM,14,8
EALC 40411 02,1144 305,13515,Fourth-Year Chinese I,"Yin,Chengxu",MWF,2:00 PM,2:50 PM,15,6
EALC 40451 01,1144 305,21159,4th Yr Readings in Chinese I,"Zhang,Jin",W,3:30 PM,4:20 PM,10,1
