"Timestamp,""OccSensor_Log"",""SpaceTemp_Log"""
"10/27/2021 1:00:00 PM,""1.00"",""74.89"""
"10/27/2021 12:45:00 PM,""1.00"",""74.57"""
"10/27/2021 12:30:00 PM,""1.00"",""73.62"""
"10/27/2021 12:15:00 PM,""1.00"",""72.39"""
"10/27/2021 12:00:00 PM,""1.00"",""69.76"""
"10/27/2021 11:45:00 AM,""1.00"",""69.42"""
"10/27/2021 11:30:00 AM,""1.00"",""70.23"""
"10/27/2021 11:15:00 AM,""1.00"",""70.23"""
"10/27/2021 11:00:00 AM,""1.00"",""71.06"""
"10/27/2021 10:45:00 AM,""1.00"",""70.66"""
"10/27/2021 10:30:00 AM,""1.00"",""70.79"""
"10/27/2021 10:15:00 AM,""1.00"",""74.08"""
"10/27/2021 10:00:00 AM,""1.00"",""73.58"""
"10/27/2021 9:45:00 AM,""1.00"",""72.93"""
"10/27/2021 9:30:00 AM,""1.00"",""71.89"""
"10/27/2021 9:15:00 AM,""0.00"",""71.28"""
"10/27/2021 9:00:00 AM,""0.00"",""71.31"""
"10/27/2021 8:45:00 AM,""0.00"",""71.29"""
"10/27/2021 8:30:00 AM,""0.00"",""71.17"""
"10/27/2021 8:15:00 AM,""0.00"",""71.08"""
"10/27/2021 8:00:00 AM,""0.00"",""71.11"""
"10/27/2021 7:45:00 AM,""0.00"",""70.99"""
"10/27/2021 7:30:00 AM,""0.00"",""71.02"""
"10/27/2021 7:15:00 AM,""0.00"",""71.04"""
"10/27/2021 7:00:00 AM,""0.00"",""71.11"""
"10/27/2021 6:45:00 AM,""0.00"",""71.17"""
"10/27/2021 6:30:00 AM,""0.00"",""71.22"""
"10/27/2021 6:15:00 AM,""0.00"",""71.24"""
"10/27/2021 6:00:00 AM,""0.00"",""71.35"""
"10/27/2021 5:45:00 AM,""0.00"",""71.40"""
"10/27/2021 5:30:00 AM,""0.00"",""71.44"""
"10/27/2021 5:15:00 AM,""0.00"",""71.51"""
"10/27/2021 5:00:00 AM,""0.00"",""71.56"""
"10/27/2021 4:45:00 AM,""0.00"",""71.60"""
"10/27/2021 4:30:00 AM,""0.00"",""71.53"""
"10/27/2021 4:15:00 AM,""0.00"",""71.24"""
"10/27/2021 4:00:00 AM,""0.00"",""72.21"""
"10/27/2021 3:45:00 AM,""0.00"",""72.25"""
"10/27/2021 3:30:00 AM,""0.00"",""72.28"""
"10/27/2021 3:15:00 AM,""0.00"",""72.32"""
"10/27/2021 3:00:00 AM,""0.00"",""72.34"""
"10/27/2021 2:45:00 AM,""0.00"",""72.43"""
"10/27/2021 2:30:00 AM,""0.00"",""72.43"""
"10/27/2021 2:15:00 AM,""0.00"",""72.46"""
"10/27/2021 2:00:00 AM,""0.00"",""72.50"""
"10/27/2021 1:45:00 AM,""0.00"",""72.54"""
"10/27/2021 1:30:00 AM,""0.00"",""72.55"""
"10/27/2021 1:15:00 AM,""1.00"",""72.55"""
"10/27/2021 1:00:00 AM,""1.00"",""72.18"""
"10/27/2021 12:45:00 AM,""1.00"",""73.02"""
"10/27/2021 12:30:00 AM,""0.00"",""73.17"""
"10/27/2021 12:15:00 AM,""0.00"",""73.18"""
"10/27/2021 12:00:00 AM,""0.00"",""73.26"""
"10/26/2021 11:45:00 PM,""0.00"",""73.36"""
"10/26/2021 11:30:00 PM,""0.00"",""73.45"""
"10/26/2021 11:15:00 PM,""0.00"",""73.56"""
"10/26/2021 11:00:00 PM,""0.00"",""73.60"""
"10/26/2021 10:45:00 PM,""0.00"",""73.69"""
"10/26/2021 10:30:00 PM,""0.00"",""73.76"""
"10/26/2021 10:15:00 PM,""0.00"",""73.92"""
"10/26/2021 10:00:00 PM,""0.00"",""73.92"""
"10/26/2021 9:45:00 PM,""0.00"",""73.60"""
"10/26/2021 9:30:00 PM,""0.00"",""73.18"""
"10/26/2021 9:15:00 PM,""1.00"",""74.01"""
"10/26/2021 9:00:00 PM,""1.00"",""74.32"""
"10/26/2021 8:45:00 PM,""1.00"",""74.50"""
"10/26/2021 8:30:00 PM,""1.00"",""74.26"""
"10/26/2021 8:15:00 PM,""1.00"",""73.94"""
"10/26/2021 8:00:00 PM,""1.00"",""73.15"""
"10/26/2021 7:45:00 PM,""0.00"",""73.62"""
"10/26/2021 7:30:00 PM,""0.00"",""73.63"""
"10/26/2021 7:15:00 PM,""0.00"",""73.65"""
"10/26/2021 7:00:00 PM,""0.00"",""73.63"""
"10/26/2021 6:45:00 PM,""0.00"",""73.58"""
"10/26/2021 6:30:00 PM,""0.00"",""73.47"""
"10/26/2021 6:15:00 PM,""1.00"",""73.38"""
"10/26/2021 6:00:00 PM,""0.00"",""73.65"""
"10/26/2021 5:45:00 PM,""0.00"",""73.72"""
"10/26/2021 5:30:00 PM,""0.00"",""73.72"""
"10/26/2021 5:15:00 PM,""0.00"",""73.81"""
"10/26/2021 5:00:00 PM,""1.00"",""73.89"""
"10/26/2021 4:45:00 PM,""1.00"",""75.04"""
"10/26/2021 4:30:00 PM,""1.00"",""75.02"""
"10/26/2021 4:15:00 PM,""1.00"",""75.02"""
"10/26/2021 4:00:00 PM,""1.00"",""74.75"""
"10/26/2021 3:45:00 PM,""1.00"",""74.53"""
"10/26/2021 3:30:00 PM,""1.00"",""73.63"""
"10/26/2021 3:15:00 PM,""1.00"",""73.54"""
"10/26/2021 3:00:00 PM,""1.00"",""74.59"""
"10/26/2021 2:45:00 PM,""1.00"",""74.62"""
"10/26/2021 2:30:00 PM,""1.00"",""74.35"""
"10/26/2021 2:15:00 PM,""1.00"",""73.92"""
"10/26/2021 2:00:00 PM,""1.00"",""72.50"""
"10/26/2021 1:45:00 PM,""1.00"",""71.78"""
"10/26/2021 1:30:00 PM,""1.00"",""72.52"""
"10/26/2021 1:15:00 PM,""1.00"",""72.68"""
"10/26/2021 1:00:00 PM,""1.00"",""72.46"""
"10/26/2021 12:45:00 PM,""1.00"",""71.51"""
"10/26/2021 12:30:00 PM,""1.00"",""71.38"""
"10/26/2021 12:15:00 PM,""1.00"",""67.19"""
"10/26/2021 12:00:00 PM,""1.00"",""68.56"""
"10/26/2021 11:45:00 AM,""1.00"",""70.92"""
"10/26/2021 11:30:00 AM,""1.00"",""70.92"""
"10/26/2021 11:15:00 AM,""1.00"",""72.64"""
"10/26/2021 11:00:00 AM,""1.00"",""73.90"""
"10/26/2021 10:45:00 AM,""1.00"",""75.16"""
"10/26/2021 10:30:00 AM,""1.00"",""75.04"""
"10/26/2021 10:15:00 AM,""1.00"",""74.77"""
"10/26/2021 10:00:00 AM,""1.00"",""74.53"""
"10/26/2021 9:45:00 AM,""1.00"",""73.85"""
"10/26/2021 9:30:00 AM,""1.00"",""72.66"""
"10/26/2021 9:15:00 AM,""0.00"",""71.82"""
"10/26/2021 9:00:00 AM,""1.00"",""71.58"""
"10/26/2021 8:45:00 AM,""1.00"",""71.56"""
"10/26/2021 8:30:00 AM,""1.00"",""71.67"""
"10/26/2021 8:15:00 AM,""0.00"",""71.69"""
"10/26/2021 8:00:00 AM,""0.00"",""71.71"""
"10/26/2021 7:45:00 AM,""0.00"",""71.69"""
"10/26/2021 7:30:00 AM,""0.00"",""71.76"""
"10/26/2021 7:15:00 AM,""0.00"",""71.82"""
"10/26/2021 7:00:00 AM,""0.00"",""71.85"""
"10/26/2021 6:45:00 AM,""0.00"",""71.85"""
"10/26/2021 6:30:00 AM,""0.00"",""71.87"""
"10/26/2021 6:15:00 AM,""0.00"",""71.87"""
"10/26/2021 6:00:00 AM,""0.00"",""71.89"""
"10/26/2021 5:45:00 AM,""0.00"",""71.91"""
"10/26/2021 5:30:00 AM,""0.00"",""72.12"""
"10/26/2021 5:15:00 AM,""0.00"",""71.91"""
"10/26/2021 5:00:00 AM,""0.00"",""71.73"""
"10/26/2021 4:45:00 AM,""0.00"",""71.69"""
"10/26/2021 4:30:00 AM,""0.00"",""71.69"""
"10/26/2021 4:15:00 AM,""0.00"",""71.74"""
"10/26/2021 4:00:00 AM,""0.00"",""72.55"""
"10/26/2021 3:45:00 AM,""0.00"",""72.59"""
"10/26/2021 3:30:00 AM,""0.00"",""72.63"""
"10/26/2021 3:15:00 AM,""0.00"",""72.64"""
"10/26/2021 3:00:00 AM,""0.00"",""72.64"""
"10/26/2021 2:45:00 AM,""0.00"",""72.66"""
"10/26/2021 2:30:00 AM,""0.00"",""72.68"""
"10/26/2021 2:15:00 AM,""0.00"",""72.70"""
"10/26/2021 2:00:00 AM,""0.00"",""72.73"""
"10/26/2021 1:45:00 AM,""0.00"",""72.73"""
"10/26/2021 1:30:00 AM,""0.00"",""72.73"""
"10/26/2021 1:15:00 AM,""0.00"",""72.64"""
"10/26/2021 1:00:00 AM,""1.00"",""72.30"""
"10/26/2021 12:45:00 AM,""0.00"",""72.36"""
"10/26/2021 12:30:00 AM,""0.00"",""72.41"""
"10/26/2021 12:15:00 AM,""0.00"",""72.41"""
"10/26/2021 12:00:00 AM,""0.00"",""72.41"""
"10/25/2021 11:45:00 PM,""0.00"",""72.46"""
"10/25/2021 11:30:00 PM,""0.00"",""72.37"""
"10/25/2021 11:15:00 PM,""0.00"",""72.19"""
"10/25/2021 11:00:00 PM,""1.00"",""72.23"""
"10/25/2021 10:45:00 PM,""0.00"",""72.12"""
"10/25/2021 10:30:00 PM,""0.00"",""71.87"""
"10/25/2021 10:15:00 PM,""1.00"",""71.38"""
"10/25/2021 10:00:00 PM,""0.00"",""71.06"""
"10/25/2021 9:45:00 PM,""0.00"",""71.29"""
"10/25/2021 9:30:00 PM,""0.00"",""71.69"""
"10/25/2021 9:15:00 PM,""0.00"",""72.32"""
"10/25/2021 9:00:00 PM,""1.00"",""73.71"""
"10/25/2021 8:45:00 PM,""1.00"",""74.82"""
"10/25/2021 8:30:00 PM,""1.00"",""74.52"""
"10/25/2021 8:15:00 PM,""1.00"",""74.14"""
"10/25/2021 8:00:00 PM,""1.00"",""73.24"""
"10/25/2021 7:45:00 PM,""0.00"",""72.81"""
"10/25/2021 7:30:00 PM,""0.00"",""72.79"""
"10/25/2021 7:15:00 PM,""0.00"",""72.82"""
"10/25/2021 7:00:00 PM,""0.00"",""72.81"""
